CUI1,CUI2,Prediction
Cough,Diffuse malignant mesothelioma,0
Squamous cell carcinoma - category,squamous cell carcinoma of the thyroid gland,0
Nodular Lymphocyte Predominant Hodgkin Lymphoma,Childhood Lymphoma,0
Hepatobiliary System,Colorectal cancer,0
Medical History,Malignant melanoma of eyelid,1
Germ Layers,Stage II Hepatocellular Carcinoma AJCC v6 and v7,0
Out (direction),Familial Adenomatous Polyposis Associated Medulloblastoma,1
Shortness of Breath Visual Analogue Scale,Diffuse malignant mesothelioma,0
Weight Loss,Diffuse malignant mesothelioma,1
Fibrous layer,Adult Fibrolamellar Carcinoma,1
SLC6A2 protein,Intestinal Neuroendocrine Carcinoma,0
Vagina Carcinoma,squamous cell carcinoma of the thyroid gland,0
Precision - temporal,Small Lymphocytic Lymphoma with Immunoglobulin Heavy Chain Variable-Region Gene Somatic Hypermutation,0
Dysuria,Endometrial Small Cell Carcinoma,1
Including (qualifier),Stage II Carcinoma of Penis,1
therapeutic aspects,Primary Cutaneous Plasmablastic Lymphoma,0
Use of,Malignant melanoma of eyelid,0
Lymphocyte,Nodular Lymphocyte Predominant Hodgkin Lymphoma,0
Preventive monitoring,Mucinous neoplasm,0
Cessation of life,Stage II Carcinoma of Penis,0
3+ Score,Pathologic Stage IA Cutaneous Melanoma AJCC v8,1
Aim (idea),Ichthyosis,0
peripheral blood,Heavy Chain Deposition Disease,0
Color change,Pathologic Stage IA Cutaneous Melanoma AJCC v8,1
X-Ray Computed Tomography,Pilocytic astrocytoma of cerebellum,1
Contain (action),Refractory Glioma,0
Impaired skin integrity,Malignant melanoma of eyelid,1
Approximate,Methotrexate-Associated Hodgkin Lymphoma,1
Diagnosis,Regional Urothelial Carcinoma of the Renal Pelvis and Ureter,1
Onset of Action,Human Papillomavirus-Related Carcinoma,1
fish - non-drug agent,Ichthyosis,0
Early disease stage,Stage IB Pancreatic Cancer AJCC v8,0
Related personal status,Rhabdomyosarcoma with ganglionic differentiation,0
status - In progress,Primary Cutaneous Plasmablastic Lymphoma,0
Malignant - descriptor,Female Breast Carcinoma,1
Encounter,Pilocytic astrocytoma of cerebellum,0
Observation Interpretation - intermediate,Blepharal carcinoma,1
Tumor Mass,Testicular cancer metastatic,1
Body tissue,Testicular cancer metastatic,0
Lung,Mucinous adenocarcinoma gastric,0
How Often Sweats,Methotrexate-Associated Hodgkin Lymphoma,0
Symptoms,papillary carcinoma of penis,1
Acrospiroma,Benign Apocrine Neoplasm,0
Imaging Techniques,Uterine Cancer,0
Remaining,Digestive System Hodgkin Lymphoma,1
Term (lexical),Cartilaginous exostosis,0
Exogenous Factors,Spongiotic dermatitis,0
Sometimes,Localized Askin Tumor,0
Population Group,Clonal Hematopoiesis of Indeterminate Potential,0
Referring,Carcinoma ex pleomorphic adenoma of parotid gland,0
Notable,Precursor T-lymphoblastic lymphoma/leukemia stage III,1
Increase,Epipodophyllotoxin-Related Myelodysplastic Syndrome,1
bacteria aspects,Cancer of Urinary Tract,0
Embryonic Development,Adult Alveolar Soft Part Sarcoma,1
Rare,Stage II Carcinoma of Penis,1
Inguinal part of abdomen,Childhood Lymphoma,0
Constant (qualifier),Methotrexate-Associated Hodgkin Lymphoma,0
Formations,Pilocytic astrocytoma of cerebellum,1
Cessation of life,mucinous adenocarcinoma of gallbladder,0
Anterior,Thymic Clear Cell Carcinoma,1
Pancreas part,Stage IB Pancreatic Cancer AJCC v8,0
Pharmacologic Substance,Testicular cancer metastatic,0
Including (qualifier),adenoid cystic carcinoma of lung,1
Cicatrix,Acantholytic squamous cell carcinoma,1
Meibomian Cyst,Benign Apocrine Neoplasm,1
Meaning,Ichthyosis,0
cancer classification,Breast Ductal Adenoma,1
white blood cell type,Childhood Lymphoma,1
South Korea,Mucinous adenocarcinoma gastric,0
Kidney Tubules,Grade 1 Clear Cell Renal Cell Carcinoma,0
Pediatrics,Neonatal leukemia,0
Persons,Cancer of Urinary Tract,0
Tissue of urinary bladder,Bladder squamous cell carcinoma stage I,0
Menstruation,Undifferentiated Endocervical Sarcoma,1
Junctional,Refractory Barrett Esophagus,1
Process,Collecting Duct Carcinoma of the Kidney,0
potential,Bladder squamous cell carcinoma stage I,1
Occur (action),Epipodophyllotoxin-Related Myelodysplastic Syndrome,1
Containing (qualifier),Familial Hemophagocytic Lymphocytosis,1
Disease,adenoid cystic carcinoma of lung,1
Frequently,Hodgkin lymphoma,0
Most,Stage IB Lung Cancer AJCC v7,0
Rating (action),Undifferentiated Endocervical Sarcoma,0
How Often Weight Loss,adenosquamous carcinoma of breast,1
Presence (property),Liver Cavernous Hemangioma,1
Administration procedure,Diffuse malignant mesothelioma,0
Uterine Cancer,Uterine Cancer,0
Precision - characteristic,Adenocarcinoma of the prostate metastatic,0
Base - General Qualifier,Diffuse malignant mesothelioma,1
Nevus,Pathologic Stage IA Cutaneous Melanoma AJCC v8,0
Often - answer to question,Stage II Fallopian Tube Cancer,0
True primary (qualifier value),Serous cystadenocarcinoma ovary,0
Usual Severity Nausea,Mucinous adenocarcinoma gastric,1
Less Than,Pathologic Stage IA Cutaneous Melanoma AJCC v8,1
0%,Malignant Neoplasm of Lung - Multiple Primary Sites,0
research subject screening,Human Papillomavirus-Related Carcinoma,0
Containing (qualifier),BRCA2 Syndrome,1
Increased,Endometrial Small Cell Carcinoma,1
Frequently,Recurrent Uveal Melanoma,0
Reflecting,adenoid cystic carcinoma of lung,1
Liver,Mucinous adenocarcinoma gastric,0
Subtype (attribute),FIGO Stage II Ovarian Cancer,1
Major,Childhood Lymphoma,0
incidence of cases,Adult Hepatocellular Carcinoma,1
How Much Distress Nausea,Mucinous adenocarcinoma gastric,1
Adult human body,squamous cell carcinoma of the thyroid gland,0
Frequently,Malignant Neoplasm with Regional Lymph Node Involvement,0
Primary malignant neoplasm,Anterior Urethral Malignant Neoplasm,0
Occur (action),Intestinal Neuroendocrine Carcinoma,0
World Health Organization,Malignant Neoplasm of Lung - Multiple Primary Sites,0
Pressure - action,Anterior Urethral Malignant Neoplasm,0
Childhood Non-Hodgkin Lymphoma,Recurrent Testicular Lymphoma,1
Rest,Testicular cancer metastatic,0
Main,Malignant Neoplasm with Regional Lymph Node Involvement,0
Disseminated Malignant Neoplasm,Precursor T-lymphoblastic lymphoma/leukemia stage III,1
Malignant Neoplasms,Regional Urothelial Carcinoma of the Renal Pelvis and Ureter,1
Family,Mucinous adenocarcinoma gastric,0
Females,Acantholytic squamous cell carcinoma,0
Abnormally high,Pathologic Stage IA Cutaneous Melanoma AJCC v8,1
Usual,Pilocytic astrocytoma of cerebellum,1
Changing,Testicular cancer metastatic,0
Malignant Central Nervous System Neoplasm,Recurrent Diffuse Intrinsic Pontine Glioma,0
Empty (qualifier),Breast Ductal Adenoma,1
Normal,Endometrial Small Cell Carcinoma,1
Related personal status,Leptomeningeal sarcoma,0
derivation calculation,Heavy Chain Deposition Disease,0
radiotherapeutic,Regional Urothelial Carcinoma of the Renal Pelvis and Ureter,1
Source of radiation (attribute),Acantholytic squamous cell carcinoma,1
ultrasound device,Malignant Testicular Sertoli Cell Tumor,0
Five,Benign Carotid Body Paraganglioma,1
Cell Count,Clonal Hematopoiesis of Indeterminate Potential,1
Osteogenesis,Cartilaginous exostosis,0
Arranged (transportation),Atypical Lobular Breast Hyperplasia,1
Out (direction),Pancreatic Intraepithelial Neoplasia-3,0
Most,Malignant melanoma of eyelid,0
Extension,Leptomeningeal sarcoma,1
Representation (action),Stage IB Pancreatic Cancer AJCC v8,0
User Group,Neonatal leukemia,0
Time (foundation metadata concept),Thymic Clear Cell Carcinoma,0
Tumor type,Refractory Glioma,1
Tobacco smoking behavior,Regional Urothelial Carcinoma of the Renal Pelvis and Ureter,0
inferiority,Childhood Cerebellar Neoplasm,0
To,Adult Alveolar Soft Part Sarcoma,1
Specimen Source Codes - Mucosa,Maxillary Sinus Adenocarcinoma,0
Surgery specialty,Bladder squamous cell carcinoma stage I,0
Frequently,Acantholytic squamous cell carcinoma,1
Secondary to,Granular Cell Leiomyosarcoma,1
treatment - ActInformationManagementReason,mucinous adenocarcinoma of gallbladder,0
Retraction (finding),Blepharal carcinoma,0
child survival,Acute Undifferentiated Leukemia,0
Event Seriousness - Significant,Acute Undifferentiated Leukemia,1
Adult Teratoma,benign mature teratoma of pancreas,0
Biologic Development,Mucinous adenocarcinoma gastric,1
Collections (publication),Hemangioma,0
Physical shape,Small Lymphocytic Lymphoma with Immunoglobulin Heavy Chain Variable-Region Gene Somatic Hypermutation,0
Fatal,Precursor T-lymphoblastic lymphoma/leukemia stage III,1
Childbirth,GIANT PIGMENTED HAIRY NEVUS,0
Common Specifications in HL7 V3 Publishing,Bladder squamous cell carcinoma stage I,0
Obesity,Refractory Barrett Esophagus,1
Does jump,Extracranial Neuroblastoma,0
20%,Malignant Testicular Sertoli Cell Tumor,1
Women's Health,Cancer of Urinary Tract,0
Base - General Qualifier,Acantholytic squamous cell carcinoma,1
Case (situation),Uterine Cancer,0
Consistency,benign mature teratoma of pancreas,1
Time,Cancer of Urinary Tract,0
member,Malignant melanoma of eyelid,0
body system,Digestive System Hodgkin Lymphoma,0
Range,Ichthyoses,0
Testiculo-,Malignant Testicular Sertoli Cell Tumor,0
abnormal growth by tissue,Anterior Urethral Malignant Neoplasm,0
Term Birth,Testicular cancer metastatic,0
Delayed Puberty,Placental aromatase deficiency,0
Increasing,Cancer of Urinary Tract,0
Resolution,Human Papillomavirus-Related Carcinoma,1
Pain NOS,Localized Askin Tumor,0
Term (temporal),Adult Alveolar Soft Part Sarcoma,1
Circulating,Recurrent Testicular Lymphoma,1
gastrointestinal,mucinous adenocarcinoma of gallbladder,0
Regurgitation - mechanism,Refractory Barrett Esophagus,0
Manufactured sign,Angiosarcoma of liver,1
Malignant Neoplasms,Precursor T-lymphoblastic lymphoma/leukemia stage III,1
Value Above Reference Range,Mucinous adenocarcinoma gastric,0
Decision,Digestive System Hodgkin Lymphoma,0
Different,Diffuse malignant mesothelioma,0
Geographic Locations,Recurrent Testicular Lymphoma,0
Contain (action),Small Lymphocytic Lymphoma with Immunoglobulin Heavy Chain Variable-Region Gene Somatic Hypermutation,0
Young Child [Disease/Finding],Neonatal leukemia,1
Togo,Malignant Testicular Sertoli Cell Tumor,0
Including (qualifier),Localized Askin Tumor,1
vascular inflammations,Acute lymphadenitis,1
Code System Type - Internal,Diffuse malignant mesothelioma,0
Pharmacotherapy,Lung squamous cell carcinoma stage I,0
Irregular,Malignant melanoma of eyelid,0
trauma qualifier,Giant cell angiofibroma,0
Area,Pilocytic astrocytoma of cerebellum,1
Occurrence Indicator,Mucinous neoplasm,0
thiocolchicoside,Regional Urothelial Carcinoma of the Renal Pelvis and Ureter,0
Manufactured form,Anterior Urethral Malignant Neoplasm,0
2+ Score,Localized Askin Tumor,1
Infertility study,Spermatocytic seminoma,0
Description,Atypical Lobular Breast Hyperplasia,1
Cicatrix,Diffuse malignant mesothelioma,1
Report (document),Serous cystadenocarcinoma ovary,0
Dysuria,Cancer of Urinary Tract,0
Account number:Identifier:Point in time:^Patient:Nominal,Lung squamous cell carcinoma stage I,0
Adult Nodular Lymphocyte Predominant Hodgkin Lymphoma,Nodular Lymphocyte Predominant Hodgkin Lymphoma,0
Code,Intracortical osteosarcoma,0
Approximate,Localized Askin Tumor,1
Numerous,Stage II Carcinoma of Penis,1
Over (spatial),Human Papillomavirus-Related Carcinoma,1
Leukemia (category),Neonatal leukemia,0
Near,Recurrent Uveal Melanoma,0
high throughput analysis,Advanced Uterine Corpus Carcinosarcoma,0
Hemangioma,Hemangioma,0
Hour Times Percent,Mucinous adenocarcinoma gastric,1
Metastatic Neoplasm,Malignant melanoma of eyelid,1
Malignant neoplasm of ovary,FIGO Stage II Ovarian Cancer,0
Unique,Pilocytic astrocytoma of cerebellum,0
Pharyngeal structure,Larynx carcinoma recurrent,0
Males,Carcinoma of urinary bladder,0
Positive Selection,Thymic Clear Cell Carcinoma,1
Present,Anterior Urethral Malignant Neoplasm,0
Science of Etiology,Mucinous adenocarcinoma gastric,1
Targeted Therapy,Localized Askin Tumor,1
Eating,Refractory Barrett Esophagus,0
Bone Infection,Cartilaginous exostosis,0
Acute leukemia,Epipodophyllotoxin-Related Myelodysplastic Syndrome,1
Long,Epipodophyllotoxin-Related Myelodysplastic Syndrome,1
Full,Familial Hemophagocytic Lymphocytosis,0
Breeding,Angiosarcoma of liver,0
Metastatic Neoplasm,Angiosarcoma of liver,1
Treating,Recurrent Testicular Lymphoma,0
Both ovaries,Serous cystadenocarcinoma ovary,0
week,Epipodophyllotoxin-Related Myelodysplastic Syndrome,0
Used by,Leptomeningeal sarcoma,1
To,Pancreatic Intraepithelial Neoplasia-3,0
Basis - conceptual entity,Uterine Cancer,0
Lighter device,Acantholytic squamous cell carcinoma,0
Disease,Uterine Cancer,0
Obesity,Uterine Cancer,0
Administration procedure,Carcinoma of urinary bladder,0
Monoclonal Antibodies,Heavy Chain Deposition Disease,1
Tryptophanase,Pilocytic astrocytoma of cerebellum,0
per year,Advanced Uterine Corpus Carcinosarcoma,0
Bacteria,Small Lymphocytic Lymphoma with Immunoglobulin Heavy Chain Variable-Region Gene Somatic Hypermutation,1
Common Specifications in HL7 V3 Publishing,Undifferentiated Endocervical Sarcoma,1
Spreading (qualifier value),Anterior Urethral Malignant Neoplasm,0
Scrotum,Maxillary Sinus Adenocarcinoma,0
skin color,Precursor T-lymphoblastic lymphoma/leukemia stage III,0
Upper Respiratory Infections,Acantholytic squamous cell carcinoma,0
Characterization,Stage IB Lung Cancer AJCC v7,1
Persistent embryonic structure,Human Papillomavirus-Related Carcinoma,0
Hyperlink,Human Papillomavirus-Related Carcinoma,1
What subject filter - Result,Placental aromatase deficiency,0
Name (property) (qualifier value),Methotrexate-Associated Hodgkin Lymphoma,0
Mass of body region,Recurrent Testicular Lymphoma,1
High grade (lymphoma grade) (finding),Unfavorable Non-Hodgkin Lymphoma,1
Structure of cortex of kidney,Collecting Duct Carcinoma of the Kidney,0
One,Acantholytic squamous cell carcinoma,0
Bone marrow: lymphocytes (finding),Precursor T-lymphoblastic lymphoma/leukemia stage III,1
Valid,Leptomeningeal sarcoma,0
Stem cells,Heavy Chain Deposition Disease,0
First (number),Pilocytic astrocytoma of cerebellum,0
Fungi,Cancer of Urinary Tract,0
Absence of Signs or Symptoms,Heavy Chain Deposition Disease,1
CD69 protein,Ichthyosis,0
Standard Treatment,Acute Undifferentiated Leukemia,1
Targeted Therapy,Mucinous adenocarcinoma gastric,0
Evidence,Breast Ductal Adenoma,0
Common Specifications in HL7 V3 Publishing,Stage IB Pancreatic Cancer AJCC v8,0
diagnosis aspect,Mucinous adenocarcinoma gastric,0
Statistical mean,Cartilaginous exostosis,0
shared attribute,Malignant melanoma of eyelid,0
Malignant neoplasm of urinary bladder,Intestinal Metaplasia of Bladder Urothelium,0
shared attribute,Leiomyoma of Gallbladder,0
Drug Administration Routes,Digestive System Hodgkin Lymphoma,0
pharmacotherapeutic,Diffuse malignant mesothelioma,1
Neoplasm Metastasis,Benign Carotid Body Paraganglioma,1
Carcinoma,adenosquamous carcinoma of breast,1
Therapy Object (animal model),Epipodophyllotoxin-Related Myelodysplastic Syndrome,0
alone - group size,Cancer of Urinary Tract,0
Coding,Intracortical osteosarcoma,0
Occur (action),GIANT PIGMENTED HAIRY NEVUS,0
35,Epipodophyllotoxin-Related Myelodysplastic Syndrome,1
Cell Device,papillary carcinoma of penis,0
Therapeutic procedure,Bladder squamous cell carcinoma stage I,0
Aggressive course,Colorectal High Grade B-Cell Lymphoma,1
Aspects of signs,Mucinous adenocarcinoma gastric,0
therapeutic aspects,Neonatal leukemia,0
Present,Tonsillar Carcinoma,1
Before,Recurrent Testicular Lymphoma,0
radiotherapeutic,Malignant Testicular Sertoli Cell Tumor,1
Weight decreased,Diffuse malignant mesothelioma,1
Term (lexical),Neonatal leukemia,0
Form:Finding:Point in time:{Setting}:Document:{Role},Recurrent Testicular Lymphoma,0
Critical,Neonatal leukemia,0
Used by,Acantholytic squamous cell carcinoma,0
Fever,Cancer of Urinary Tract,0
Rate,Malignant Testicular Sertoli Cell Tumor,1
Treating,Acantholytic squamous cell carcinoma,0
Tumor cells,Angiosarcoma of liver,0
Two,Choroid Necrotic Melanoma,0
Immature Lymphocytes Measurement,Thymic Clear Cell Carcinoma,1
Qualitative form,Malignant Neoplasm of Lung - Multiple Primary Sites,0
Etiology aspects,Airway Hemangioma,0
Occurrence Indicator,GIANT PIGMENTED HAIRY NEVUS,0
incidence of cases,Benign neoplasm of thorax,0
Palatine Tonsil,Recurrent Testicular Lymphoma,0
Ever told by doctor or nurse that you have high blood pressure:Finding:Point in time:^Patient:Ordinal,Undifferentiated Endocervical Sarcoma,0
Comfort,Extracranial Neuroblastoma,0
Clear cell carcinoma of lung,Adenocarcinoma,0
Currarino triad,benign mature teratoma of pancreas,0
various antiinfectives and antiseptics for local oral treatment,Extra-Adrenal Paraganglioma,0
Brain Neoplasms,Pilocytic astrocytoma of cerebellum,0
Node - plant part,Tonsillar Carcinoma,0
Acute lymphocytic leukemia,Acute Undifferentiated Leukemia,0
Therapeutic radiology procedure,Epipodophyllotoxin-Related Myelodysplastic Syndrome,0
Building process,Diffuse malignant mesothelioma,0
Skin,Angiosarcoma of liver,0
Nodular Lymphocyte Predominant Hodgkin Lymphoma,Stage I Adult Non-Hodgkin Lymphoma,0
Surgery specialty,Regional Urothelial Carcinoma of the Renal Pelvis and Ureter,0
Tryptophanase,Testicular cancer metastatic,0
Europe,Recurrent Testicular Lymphoma,0
Very rare,Adult Alveolar Soft Part Sarcoma,1
Very Much,Digestive System Hodgkin Lymphoma,0
Non-Seminomatous Lesion,Malignant Testicular Sertoli Cell Tumor,1
NCI CTEP SDC Non-Hodgkin Lymphoma Sub-Category Terminology,Unfavorable Non-Hodgkin Lymphoma,0
contextual factors,Benign neoplasm of thorax,0
Skin Specimen,Colorectal cancer,0
Interventional procedure,Endometrial Small Cell Carcinoma,0
Diagnosis,Uterine Cancer,1
Abnormal Cell Count,Human Papillomavirus-Related Carcinoma,1
Gene Mutant,benign mature teratoma of pancreas,1
Biomaterial Treatment,Maxillary Sinus Adenocarcinoma,1
International Classification of Disease for Oncology,Intracortical osteosarcoma,0
bony process,Collecting Duct Carcinoma of the Kidney,0
Tryptophanase,Hemangioma,0
To,Stage II Carcinoma of Penis,0
Table Cell Horizontal Align - left,Familial Adenomatous Polyposis Associated Medulloblastoma,1
United States,Unfavorable Non-Hodgkin Lymphoma,0
Capsule Shape,Thymic Clear Cell Carcinoma,0
Common Specifications in HL7 V3 Publishing,Extracranial Neuroblastoma,1
Therapeutic procedure,Primary Cutaneous Plasmablastic Lymphoma,0
CEL gene,Stage II Hepatocellular Carcinoma AJCC v6 and v7,0
Infantile hemangioma,Airway Hemangioma,0
Microvolt,Malignant melanoma of eyelid,0
Therapeutic procedure,FIGO Stage II Ovarian Cancer,0
dendritic spine neck,Adult Alveolar Soft Part Sarcoma,0
Itchiness,Malignant melanoma of eyelid,1
Tumor cells,mucinous adenocarcinoma of gallbladder,0
Include (action),Adenocarcinoma,0
Acute leukemia,Recurrent Ph-Like Acute Lymphoblastic Leukemia,0
Treating,FIGO Stage II Ovarian Cancer,0
Involvement with,Nodular Lymphocyte Predominant Hodgkin Lymphoma,1
Gastric Acid,Refractory Barrett Esophagus,0
Pruritus,Mastocytosis,0
Fever,Localized Askin Tumor,1
NCI CTEP SDC Basal Cell Carcinoma Sub-Category Terminology,Acantholytic squamous cell carcinoma,0
Multiplication,Stage IB Pancreatic Cancer AJCC v8,1
Tissue injury,Heavy Chain Deposition Disease,1
Uncontrolled,Testicular cancer metastatic,1
Ductal Breast Carcinoma,Breast Ductal Adenoma,0
Feel Tired question,Childhood Lymphoma,0
Duct (organ) structure,Breast Ductal Adenoma,0
Intestines,Colorectal Neuroendocrine Tumor G2,0
Uterine Fibroids,Leiomyoma of Gallbladder,1
Semilunar fold of fauces,Blepharal carcinoma,0
Primary malignant neoplasm,Stage II Fallopian Tube Cancer,0
Cure (remedy),Malignant melanoma of eyelid,0
Disease,Bladder squamous cell carcinoma stage I,1
unknown vaccine or immune globulin,Localized Askin Tumor,0
Before values,Thymic Clear Cell Carcinoma,0
Uterus,Undifferentiated Endocervical Sarcoma,0
Cause of death.underlying,Neonatal leukemia,0
Serious,Acute lymphadenitis,1
bony process,Serous cystadenocarcinoma ovary,0
Hepatic Involvement,Mucinous adenocarcinoma gastric,1
Extreme,Placental aromatase deficiency,0
Internal,Stage II Hepatocellular Carcinoma AJCC v6 and v7,0
SPINK5 gene,Stage I Gastric Neuroendocrine Tumor AJCC v8,0
Manufactured form,Stage IB Pancreatic Cancer AJCC v8,0
Fever symptoms (finding),Malignant Neoplasm with Regional Lymph Node Involvement,0
Auditory pitch,Larynx carcinoma recurrent,0
Aspect (characteristic),Breast Ductal Adenoma,1
Leading,Malignant neoplasm of choroid,0
Skin Pigmentation,Pathologic Stage IA Cutaneous Melanoma AJCC v8,1
Call (Instruction),Acute lymphadenitis,0
Common (qualifier value),Colorectal cancer,0
Blood,Precursor T-lymphoblastic lymphoma/leukemia stage III,0
Younger child,benign mature teratoma of pancreas,0
various other agents for local oral treatment in ATC,Benign neoplasm of thorax,0
Combined,Endometrial Small Cell Carcinoma,1
Experimental Organism Basal Cell Carcinoma,Acantholytic squamous cell carcinoma,0
Study,Angiosarcoma of liver,0
Logical Condition,mucinous adenocarcinoma of gallbladder,0
seconds,Recurrent Testicular Lymphoma,0
Plasma cell dyscrasia,Heavy Chain Deposition Disease,1
Departure - action,Cartilaginous exostosis,0
Cancer Genus,Methotrexate-Associated Hodgkin Lymphoma,1
Control function,Primary Cutaneous Plasmablastic Lymphoma,0
Measles virus genotype D1,Lymphomatous Adult T-Cell Leukemia/Lymphoma,1
Glioblastoma,Advanced Uterine Corpus Carcinosarcoma,1
Pale color saturation,Acute Undifferentiated Leukemia,0
Immune system,Acantholytic squamous cell carcinoma,0
Psyche structure,Malignant neoplasm of thalamus,0
Liver Flavor,FIGO Stage II Ovarian Cancer,0
Changing,Stage II Hepatocellular Carcinoma AJCC v6 and v7,1
Color,Precursor T-lymphoblastic lymphoma/leukemia stage III,0
Treatment Epoch,Spongiotic dermatitis,0
Usual,Intestinal Metaplasia of Bladder Urothelium,0
Life,Airway Hemangioma,0
Cirrhosis,Adult Hepatocellular Carcinoma,1
Intestinal Obstruction,mucinous adenocarcinoma of gallbladder,1
Receptors,Small Lymphocytic Lymphoma with Immunoglobulin Heavy Chain Variable-Region Gene Somatic Hypermutation,0
Tryptophanase,Endometrial Small Cell Carcinoma,1
Most,Carcinoma ex pleomorphic adenoma of parotid gland,1
Agenesis of corpus callosum,adenoid cystic carcinoma of lung,0
Cervical Atlas,Advanced Uterine Corpus Carcinosarcoma,0
Html Link Type - index,Familial Hemophagocytic Lymphocytosis,0
Pineal germinoma,Germinoma,0
Human papillomavirus 11,Human Papillomavirus-Related Carcinoma,0
Determined by,Bladder squamous cell carcinoma stage I,0
Acral,Giant cell angiofibroma,0
Cancer Genus,Hodgkin lymphoma,1
Age of Onset,Carcinoma of urinary bladder,0
Usual Severity Pain,Localized Askin Tumor,1
Diagnosis Study,Regional Urothelial Carcinoma of the Renal Pelvis and Ureter,1
Due to,Colorectal cancer,0
Main,Regional Urothelial Carcinoma of the Renal Pelvis and Ureter,0
Increase,Recurrent Ph-Like Acute Lymphoblastic Leukemia,1
Corner Plus,Blepharal carcinoma,0
Tumor Cell Invasion,Testicular cancer metastatic,1
Bone pain,Precursor T-lymphoblastic lymphoma/leukemia stage III,0
Sharing (Social Behavior),benign mature teratoma of pancreas,0
Epithelial Cells,Stage II Hepatocellular Carcinoma AJCC v6 and v7,1
Inguinal region,Stage I Adult Non-Hodgkin Lymphoma,0
Thick,Pathologic Stage IA Cutaneous Melanoma AJCC v8,1
Necrotic changes (finding),Angiosarcoma of liver,1
Referring,Malignant Neoplasm with Regional Lymph Node Involvement,0
Science of Etiology,Malignant melanoma of eyelid,0
Histopathologic Grade,Breast Ductal Adenoma,1
Suspected diagnosis,Uterine Cancer,0
apply - action,Advanced Uterine Corpus Carcinosarcoma,0
Critical,Thymic Clear Cell Carcinoma,1
Death Adverse Event Not Associated with More Specific CTCAE Term NOS,FIGO Stage II Ovarian Cancer,0
Participation Type - origin,Carcinoma ex pleomorphic adenoma of parotid gland,1
described,Adult Alveolar Soft Part Sarcoma,1
Stage Grouping,Testicular cancer metastatic,1
Tissue Specimen Code,Diffuse malignant mesothelioma,0
Greater than one,Ichthyosis,0
Freezing,Human Papillomavirus-Related Carcinoma,1
Type - attribute,Uterine Cancer,0
Rest,Colorectal Neuroendocrine Tumor G2,0
CEL gene,Adenocarcinoma,0
Usually,Malignant Neoplasm with Regional Lymph Node Involvement,0
Treatment Epoch,Primary Cutaneous Plasmablastic Lymphoma,0
Left,Recurrent Ph-Like Acute Lymphoblastic Leukemia,1
Symptoms aspect,Choroid Necrotic Melanoma,1
device aspects,Pathologic Stage IA Cutaneous Melanoma AJCC v8,0
Pharmacotherapy,Epipodophyllotoxin-Related Myelodysplastic Syndrome,0
Array Feature,Metastatic Ductal Breast Carcinoma,1
Including (qualifier),Carcinoma of urinary bladder,1
Increased,Recurrent Ph-Like Acute Lymphoblastic Leukemia,1
Hospice and Palliative Care Nursing,Mucinous adenocarcinoma gastric,0
Weight Loss,adenosquamous carcinoma of breast,1
Polyvinyl Chloride,Angiosarcoma of liver,0
Skin Specimen,Precursor T-lymphoblastic lymphoma/leukemia stage III,0
Therapeutic procedure,Spermatocytic seminoma,0
Including (qualifier),Pancreatic Intraepithelial Neoplasia-3,1
Goes <invertebrate>,Malignant neoplasm of thalamus,0
Manufactured sign,Pancreatic Intraepithelial Neoplasia-3,0
history (of) disease family,Malignant Testicular Sertoli Cell Tumor,0
N+ (tumor staging),Adenocarcinoma,0
Smear - instruction imperative,Choroid Necrotic Melanoma,0
Fresh (qualifier value),Mucinous adenocarcinoma gastric,0
Stomach structure,mucinous adenocarcinoma of gallbladder,0
100%,Carcinoma of urinary bladder,0
Appearance of eyelid,Blepharal carcinoma,0
Metastatic Disease Clinical Trial Setting,Granular Cell Leiomyosarcoma,1
Feel Pain,Regional Urothelial Carcinoma of the Renal Pelvis and Ureter,1
Often - answer to question,Colorectal Neuroendocrine Tumor G2,0
Usually,Malignant Testicular Sertoli Cell Tumor,0
Anorectal Malformations,benign mature teratoma of pancreas,1
Statistical Prevalence,Blepharal carcinoma,1
Asia,Intestinal Metaplasia of Bladder Urothelium,0
Array Feature,Intestinal Neuroendocrine Carcinoma,1
Plasma Cells,Heavy Chain Deposition Disease,1
Malignant Neoplasms,Stage II Hepatocellular Carcinoma AJCC v6 and v7,1
Two,Undifferentiated Endocervical Sarcoma,0
Tumor stage,Female Breast Carcinoma,0
Tryptophanase,Acute Undifferentiated Leukemia,1
diagnosis aspect,Acantholytic squamous cell carcinoma,0
Lymphocyte component of blood,Methotrexate-Associated Hodgkin Lymphoma,0
various other nasal preparations in ATC,Recurrent Testicular Lymphoma,0
Unknown,Adult Hepatocellular Carcinoma,0
Retinoic Acid Response Element,Neonatal leukemia,0
Congenital phimosis,Stage II Carcinoma of Penis,1
Include (action),Stage IB Pancreatic Cancer AJCC v8,0
Early,Thymic Clear Cell Carcinoma,1
Back structure,Recurrent Uveal Melanoma,0
Hematuria,Regional Urothelial Carcinoma of the Renal Pelvis and Ureter,0
Location of Pharyngeal Residue Following Swallowing,Giant cell angiofibroma,0
Aspects of signs,Pancreatic Intraepithelial Neoplasia-3,0
Screening Study,Undifferentiated Endocervical Sarcoma,0
Overall,Extra-Adrenal Paraganglioma,0
Dry,Ichthyosis,0
treatment - ActInformationManagementReason,Primary Cutaneous Plasmablastic Lymphoma,0
